Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction
LPS(18:4),PS(32:4),LPS,PS,154141,MBOAT1,30
LPS(16:1) ,PS(30:0),LPS,PS,254531,LPCAT4,30
PC(34:3),LPC(17:2),PC,LPC,283748,PLA2G4D,23
LPS(20:3) ,PS(38:2),LPS,PS,254531,LPCAT4,30
PS(36:4),LPS(20:3) ,PS,LPS,30814,PLA2G2E,31
PE(18:4),PS(44:4),PE,PS,81490,PTDSS2,7
LPC(22:6),PC(36:5),LPC,PC,54947,LPCAT2,22
PC(36:4),LPC(21:4),PC,LPC,5320,PLA2G2A,23
PC(44:1),LPC(20:0),PC,LPC,26279,PLA2G2D,23
PE(22:0),PC(36:0) ,PE,PC,10400,PEMT,8
PC(32:1),LPC(20:0),PC,LPC,100137049,PLA2G4B,23
PS(40:4),LPS(18:4)_2,PS,LPS,64600,PLA2G2F,31
LPC(12:0),PC(34:4),LPC,PC,254531,LPCAT4,22
PE(18:2),PS(38:3),PE,PS,81490,PTDSS2,7
LPE(20:4),PE(34:4),LPE,PE,129642,MBOAT2,26
PS(42:0),LPS(18:1) ,PS,LPS,64600,PLA2G2F,31
PE(22:1),PC(40:3),PE,PC,10400,PEMT,8
PC(44:0),LPC(24:0),PC,LPC,30814,PLA2G2E,23
PI(32:2),LPI(15:1) ,PI,LPI,283748,PLA2G4D,29
PC(38:3),LPC(20:2),PC,LPC,64600,PLA2G2F,23
PC(42:4),LPC(22:0),PC,LPC,255189,PLA2G4F,23
PC(42:9),LPC(18:4),PC,LPC,5321,PLA2G4A,23
PC(38:2),LPC(20:2),PC,LPC,283748,PLA2G4D,23
SM(40:1),Cer1P(20:1),SM,Cer,6609,SMPD1,18
PC(36:5),LPC(21:4),PC,LPC,100137049,PLA2G4B,23
LPC(18:1),PC(44:0),LPC,PC,10162,LPCAT3,22
PC(34:3),LPC(16:0),PC,LPC,100137049,PLA2G4B,23
PS(22:7),PE(44:6),PS,PE,23761,PISD,6
PC(44:0),LPC(16:0),PC,LPC,5321,PLA2G4A,23
LPS(22:6) ,PS(44:10),LPS,PS,254531,LPCAT4,30
PS(28:1),PE(28:1),PS,PE,23761,PISD,6
PS(40:5),LPS(22:1) ,PS,LPS,64600,PLA2G2F,31
PE(28:1),PC(48:0),PE,PC,10400,PEMT,8
PS(42:7),PE(42:7),PS,PE,23761,PISD,6
PS(32:5),LPS(20:5) ,PS,LPS,5320,PLA2G2A,31
LPE(20:3),PE(42:3),LPE,PE,129642,MBOAT2,26
PE(26:1),PS(42:0),PE,PS,81490,PTDSS2,7
PC(40:1),LPC(16:1),PC,LPC,64600,PLA2G2F,23
PC(34:4),LPC(14:1),PC,LPC,5319,PLA2G1B,23
LPG(20:1) ,PG(42:7),LPG,PG,54675,CRLS1,32
PE(22:2),PC(38:1),PE,PC,10400,PEMT,8
PC(38:0),LPC(16:1),PC,LPC,5320,PLA2G2A,23
PC(38:5),LPC(21:4),PC,LPC,26279,PLA2G2D,23
LPI(14:0) ,PI(28:0),LPI,PI,79143,MBOAT7,28
LPG(15:1),PG(30:1),LPG,PG,54675,CRLS1,32
PE(21:0),PS(36:0),PE,PS,81490,PTDSS2,7
PS(30:4),PE(42:4),PS,PE,23761,PISD,6
LPC(20:1),PC(42:0),LPC,PC,79888,LPCAT1,22
PC(36:4),LPC(18:2),PC,LPC,8605,PLA2G4C,23
PI(40:1),LPI(20:0) ,PI,LPI,123745,PLA2G4E,29
PC(38:5),LPC(20:5),PC,LPC,100137049,PLA2G4B,23
LPC(22:6),PC(42:6),LPC,PC,79888,LPCAT1,22
LPC(16:1)_2,PC(38:6),LPC,PC,10162,LPCAT3,22
LPE(20:1),PE(20:1),LPE,PE,129642,MBOAT2,26
PG(42:6),LPG(22:6) ,PG,LPG,255189,PLA2G4F,33
LPC(18:4),PC(42:3),LPC,PC,79888,LPCAT1,22
LPS(18:4),PS(40:8),LPS,PS,10162,LPCAT3,30
LPS(20:5) ,PS(40:5),LPS,PS,10162,LPCAT3,30
PC(38:0),LPC(20:3),PC,LPC,26279,PLA2G2D,23
PC(40:6),LPC(20:1),PC,LPC,5321,PLA2G4A,23
PC(42:2),LPC(18:2),PC,LPC,5321,PLA2G4A,23
PC(52:4),PS(32:5),PC,PS,9791,PTDSS1,9
PI(42:1),LPI(22:4) ,PI,LPI,123745,PLA2G4E,29
PS(36:2),PE(18:1),PS,PE,23761,PISD,6
PC(42:6),LPC(22:1),PC,LPC,283748,PLA2G4D,23
PS(34:3),LPS(20:2) ,PS,LPS,64600,PLA2G2F,31
PC(44:0),LPC(18:0),PC,LPC,5319,PLA2G1B,23
PC(44:1),LPC(22:1),PC,LPC,30814,PLA2G2E,23
LPC(16:1),PC(40:0),LPC,PC,79888,LPCAT1,22
PC(36:4),LPC(20:5),PC,LPC,123745,PLA2G4E,23
LPE(22:5),PE(34:5),LPE,PE,254531,LPCAT4,26
PC(34:2),LPC(17:1),PC,LPC,123745,PLA2G4E,23
PS(38:3),PE(20:4),PS,PE,23761,PISD,6
Cer(32:3),SM(44:2),Cer,SM,259230,SGMS1,17
PE(44:1),PC(30:0),PE,PC,10400,PEMT,8
LPC(16:1)_2,PC(36:5),LPC,PC,54947,LPCAT2,22
LPE(20:5),PE(44:6),LPE,PE,129642,MBOAT2,26
PI(42:9),LPI(20:5) ,PI,LPI,283748,PLA2G4D,29
LPC(16:1),PC(42:0),LPC,PC,10162,LPCAT3,22
PG(24:0),LPG(12:0),PG,LPG,54675,CRLS1,33
PS(34:6),LPS(14:1) ,PS,LPS,64600,PLA2G2F,31
LPC(22:0),PC(44:1),LPC,PC,54947,LPCAT2,22
LPE(18:1),PE(36:4),LPE,PE,154141,MBOAT1,26
LPE(18:3),PE(38:0),LPE,PE,10162,LPCAT3,26
PG(38:5),LPG(20:4) ,PG,LPG,54675,CRLS1,33
PS(38:5),LPS(16:1) ,PS,LPS,30814,PLA2G2E,31
LPE(22:0),PE(44:1),LPE,PE,154141,MBOAT1,26
PC(30:1),LPC(16:0),PC,LPC,26279,PLA2G2D,23
PC(46:1),LPC(14:1),PC,LPC,64600,PLA2G2F,23
PE(20:4),PC(36:3),PE,PC,10400,PEMT,8
PC(32:4),LPC(14:1),PC,LPC,5321,PLA2G4A,23
LPS(20:4) ,PS(34:5)_2,LPS,PS,10162,LPCAT3,30
PC(34:5),LPC(22:6),PC,LPC,283748,PLA2G4D,23
LPS(20:0) ,PS(36:0),LPS,PS,154141,MBOAT1,30
LPE(18:0),PE(42:0),LPE,PE,10162,LPCAT3,26
PG(36:0),LPG(14:0),PG,LPG,54675,CRLS1,33
PG(44:3),LPG(22:2),PG,LPG,255189,PLA2G4F,33
PC(36:3),LPC(18:1),PC,LPC,8605,PLA2G4C,23
PC(42:5),LPC(20:4),PC,LPC,8605,PLA2G4C,23
PI(44:6),LPI(20:5) ,PI,LPI,123745,PLA2G4E,29
PC(32:3),LPC(17:2),PC,LPC,5321,PLA2G4A,23
PC(34:2),LPC(16:0),PC,LPC,5320,PLA2G2A,23
PC(48:2),LPC(20:2),PC,LPC,5320,PLA2G2A,23
PS(32:3),PE(18:2),PS,PE,23761,PISD,6
PC(34:6),LPC(14:1),PC,LPC,30814,PLA2G2E,23
PE(26:1),PS(44:4),PE,PS,81490,PTDSS2,7
PC(46:1),PS(32:0),PC,PS,9791,PTDSS1,9
PG(34:0),LPG(22:0) ,PG,LPG,54675,CRLS1,33
PC(46:2),LPC(20:1),PC,LPC,5321,PLA2G4A,23
LPS(18:4),PS(34:3),LPS,PS,254531,LPCAT4,30
PI(34:1),LPI(18:2) ,PI,LPI,123745,PLA2G4E,29
PG(38:0) ,LPG(19:0),PG,LPG,255189,PLA2G4F,33
LPC(16:1),PC(32:2),LPC,PC,79888,LPCAT1,22
PI(40:5),LPI(18:1) ,PI,LPI,123745,PLA2G4E,29
LPC(24:1),PC(46:2),LPC,PC,10162,LPCAT3,22
PC(40:5),LPC(20:2),PC,LPC,5320,PLA2G2A,23
PS(42:7),PE(22:4),PS,PE,23761,PISD,6
PC(40:2),LPC(22:2),PC,LPC,255189,PLA2G4F,23
PE(20:5),PS(44:4),PE,PS,81490,PTDSS2,7
PS(44:0),PE(14:0),PS,PE,23761,PISD,6
PE(34:2),LPE(22:1),PE,LPE,8605,PLA2G4C,27
PC(40:6),LPC(20:1),PC,LPC,123745,PLA2G4E,23
PC(40:3),LPC(22:2),PC,LPC,255189,PLA2G4F,23
PS(34:3),LPS(16:1) ,PS,LPS,64600,PLA2G2F,31
PC(36:3),LPC(16:0),PC,LPC,255189,PLA2G4F,23
PC(44:6),LPC(22:0),PC,LPC,26279,PLA2G2D,23
PI(28:1),LPI(16:0) ,PI,LPI,283748,PLA2G4D,29
LPC(22:2),PC(42:7),LPC,PC,79888,LPCAT1,22
PS(32:5),LPS(18:4)_2,PS,LPS,64600,PLA2G2F,31
PI(42:4),LPI(22:1) ,PI,LPI,123745,PLA2G4E,29
PS(40:3),PE(22:0),PS,PE,23761,PISD,6
PC(32:4),LPC(10:0),PC,LPC,5320,PLA2G2A,23
PC(34:1),LPC(15:1),PC,LPC,100137049,PLA2G4B,23
PC(40:3),LPC(18:4),PC,LPC,8605,PLA2G4C,23
PS(44:1),PE(24:0),PS,PE,23761,PISD,6
PC(32:3),LPC(18:2),PC,LPC,26279,PLA2G2D,23
PC(46:0),LPC(16:0),PC,LPC,283748,PLA2G4D,23
LPC(18:3),PC(36:5),LPC,PC,254531,LPCAT4,22
LPG(22:2),PG(40:4),LPG,PG,54675,CRLS1,32
PS(32:4),LPS(20:5) ,PS,LPS,64600,PLA2G2F,31
PS(38:5),LPS(16:0) ,PS,LPS,5320,PLA2G2A,31
LPC(20:4),PC(38:4),LPC,PC,10162,LPCAT3,22
LPC(16:0),PC(44:0),LPC,PC,10162,LPCAT3,22
LPC(22:1),PC(38:1),LPC,PC,79888,LPCAT1,22
PC(40:0),LPC(16:1)_2,PC,LPC,8605,PLA2G4C,23
PG(32:1),LPG(20:1) ,PG,LPG,54675,CRLS1,33
PG(36:3),LPG(18:1) ,PG,LPG,255189,PLA2G4F,33
PG(30:3),LPG(18:3) ,PG,LPG,255189,PLA2G4F,33
PC(36:0) ,LPC(2:0),PC,LPC,8605,PLA2G4C,23
LPG(22:6) ,PG(40:9),LPG,PG,9926,LPGAT1,32
PE(22:1),PS(42:2),PE,PS,81490,PTDSS2,7
Cer1P(44:1),SM(32:1),Cer,SM,166929,SGMS2,17
PE(44:3),LPE(18:3),PE,LPE,8605,PLA2G4C,27
PG(28:0),LPG(13:0) ,PG,LPG,283748,PLA2G4D,33
PC(36:4),LPC(21:4),PC,LPC,283748,PLA2G4D,23
LPC(20:1),PC(44:2),LPC,PC,10162,LPCAT3,22
LPS(20:5) ,PS(36:4),LPS,PS,254531,LPCAT4,30
PS(32:2),LPS(17:2),PS,LPS,5320,PLA2G2A,31
PG(32:3),LPG(17:2),PG,LPG,283748,PLA2G4D,33
PC(32:3),LPC(17:2),PC,LPC,123745,PLA2G4E,23
PS(34:5)_2,LPS(16:1) ,PS,LPS,30814,PLA2G2E,31
PC(36:7),LPC(14:1),PC,LPC,100137049,PLA2G4B,23
LPE(18:0),PE(36:3),LPE,PE,254531,LPCAT4,26
LPC(22:4),PC(40:0),LPC,PC,79888,LPCAT1,22
PS(44:1),LPS(18:0) ,PS,LPS,30814,PLA2G2E,31
PC(44:2),PS(44:2),PC,PS,9791,PTDSS1,9
LPC(4:0),PC(30:1),LPC,PC,10162,LPCAT3,22
PC(40:8),LPC(18:4),PC,LPC,30814,PLA2G2E,23
LPC(12:0),PC(34:4),LPC,PC,79888,LPCAT1,22
PC(44:8),LPC(20:3),PC,LPC,5320,PLA2G2A,23
PC(46:1),LPC(16:1)_2,PC,LPC,5321,PLA2G4A,23
PC(36:3),LPC(18:2),PC,LPC,283748,PLA2G4D,23
PG(38:5),LPG(20:4) ,PG,LPG,283748,PLA2G4D,33
PC(34:1),LPC(17:0),PC,LPC,255189,PLA2G4F,23
LPS(18:2) ,PS(40:2),LPS,PS,10162,LPCAT3,30
LPE(14:1),PE(32:5),LPE,PE,154141,MBOAT1,26
LPG(18:4),PG(36:8),LPG,PG,9926,LPGAT1,32
PC(32:0),LPC(15:0),PC,LPC,100137049,PLA2G4B,23
LPE(20:3),PE(38:2),LPE,PE,10162,LPCAT3,26
PE(22:4),PS(34:3),PE,PS,81490,PTDSS2,7
PS(36:3),LPS(22:2) ,PS,LPS,30814,PLA2G2E,31
SM(32:2),Cer(44:1),SM,Cer,55512,SMPD3,18
LPS(20:2) ,PS(38:3),LPS,PS,154141,MBOAT1,30
LPI(12:0) ,PI(38:1),LPI,PI,79143,MBOAT7,28
PE(30:3),PC(44:2),PE,PC,10400,PEMT,8
LPE(22:4),PE(40:5),LPE,PE,10162,LPCAT3,26
PC(44:4),LPC(18:3),PC,LPC,255189,PLA2G4F,23
LPC(24:0),PC(50:0),LPC,PC,79888,LPCAT1,22
PC(44:1),LPC(24:0),PC,LPC,100137049,PLA2G4B,23
LPS(14:1) ,PS(40:0) ,LPS,PS,254531,LPCAT4,30
PC(36:4),LPC(16:1)_2,PC,LPC,5321,PLA2G4A,23
PG(42:7),LPG(22:2),PG,LPG,54675,CRLS1,33
PE(42:5),LPE(20:4),PE,LPE,8605,PLA2G4C,27
PC(38:1),LPC(18:0),PC,LPC,5319,PLA2G1B,23
PE(18:0),PC(40:0),PE,PC,10400,PEMT,8
PC(38:1),LPC(16:0),PC,LPC,5321,PLA2G4A,23
PG(38:2),LPG(20:0),PG,LPG,255189,PLA2G4F,33
PC(50:0),PS(28:0),PC,PS,9791,PTDSS1,9
LPC(16:1)_2,PC(38:2),LPC,PC,254531,LPCAT4,22
LPC(22:0),PC(36:1),LPC,PC,54947,LPCAT2,22
LPC(20:3),PC(38:4),LPC,PC,54947,LPCAT2,22
LPE(12:0) ,PE(38:1),LPE,PE,254531,LPCAT4,26
PG(34:0),LPG(12:0),PG,LPG,255189,PLA2G4F,33
PG(42:4),LPG(20:0),PG,LPG,255189,PLA2G4F,33
LPC(12:0),PC(30:0),LPC,PC,79888,LPCAT1,22
PE(22:4),PC(42:9),PE,PC,10400,PEMT,8
PC(42:4),LPC(24:0),PC,LPC,5321,PLA2G4A,23
Cer1P(20:1),SM(32:1),Cer,SM,166929,SGMS2,17
PC(36:7),LPC(18:4),PC,LPC,123745,PLA2G4E,23
PG(34:0),LPG(17:1) ,PG,LPG,283748,PLA2G4D,33
PE(42:5),LPE(22:4),PE,LPE,8605,PLA2G4C,27
LPG(18:3) ,PG(36:5),LPG,PG,9926,LPGAT1,32
PS(42:6),LPS(22:6) ,PS,LPS,5320,PLA2G2A,31
LPE(22:4),PE(36:5),LPE,PE,154141,MBOAT1,26
PS(42:5),LPS(20:0) ,PS,LPS,30814,PLA2G2E,31
PI(34:2),LPI(16:1) ,PI,LPI,283748,PLA2G4D,29
PE(30:2),PC(48:2),PE,PC,10400,PEMT,8
LPG(20:1) ,PG(38:0) ,LPG,PG,9926,LPGAT1,32
LPE(18:4),PE(42:4),LPE,PE,154141,MBOAT1,26
PS(44:5),PE(20:5),PS,PE,23761,PISD,6
LPC(18:3),PC(40:7),LPC,PC,54947,LPCAT2,22
PC(38:3),LPC(20:0),PC,LPC,100137049,PLA2G4B,23
PC(40:5),LPC(20:4),PC,LPC,283748,PLA2G4D,23
LPS(22:0 ,PS(42:3),LPS,PS,10162,LPCAT3,30
PC(40:4),LPC(22:5),PC,LPC,64600,PLA2G2F,23
PC(46:1),LPC(16:1),PC,LPC,64600,PLA2G2F,23
PS(40:0) ,LPS(14:1) ,PS,LPS,64600,PLA2G2F,31
LPE(20:3),PE(42:3),LPE,PE,154141,MBOAT1,26
PG(38:2),LPG(18:2) ,PG,LPG,54675,CRLS1,33
PC(30:2),PS(44:2),PC,PS,9791,PTDSS1,9
PC(42:3),LPC(22:4),PC,LPC,64600,PLA2G2F,23
PS(38:4),LPS(18:4)_2,PS,LPS,5320,PLA2G2A,31
PC(42:2),LPC(24:1),PC,LPC,100137049,PLA2G4B,23
PC(36:0) ,LPC(14:0),PC,LPC,30814,PLA2G2E,23
LPE(16:1),PE(34:4),LPE,PE,154141,MBOAT1,26
LPC(22:4),PC(40:5),LPC,PC,54947,LPCAT2,22
PC(36:1),LPC(16:1)_2,PC,LPC,8605,PLA2G4C,23
LPS(20:1) ,PS(40:0) ,LPS,PS,254531,LPCAT4,30
PC(32:2),LPC(15:1),PC,LPC,100137049,PLA2G4B,23
PC(42:9),LPC(20:3),PC,LPC,64600,PLA2G2F,23
PS(42:2),PE(20:3),PS,PE,23761,PISD,6
PC(38:6),LPC(18:2),PC,LPC,64600,PLA2G2F,23
LPG(16:0),PG(40:1),LPG,PG,54675,CRLS1,32
LPE(22:2),PE(40:0) ,LPE,PE,254531,LPCAT4,26
LPG(20:1) ,PG(42:1),LPG,PG,9926,LPGAT1,32
PG(34:1),LPG(17:0) ,PG,LPG,54675,CRLS1,33
LPE(20:0),PE(42:6),LPE,PE,254531,LPCAT4,26
PC(36:4),LPC(16:1)_2,PC,LPC,123745,PLA2G4E,23
PC(36:1),LPC(16:0),PC,LPC,123745,PLA2G4E,23
LPE(20:1),PE(34:1),LPE,PE,10162,LPCAT3,26
PC(44:1),LPC(20:1),PC,LPC,100137049,PLA2G4B,23
LPE(20:4),PE(42:4),LPE,PE,254531,LPCAT4,26
PS(40:1),LPS(16:0) ,PS,LPS,64600,PLA2G2F,31
PC(32:4),LPC(12:0),PC,LPC,100137049,PLA2G4B,23
LPE(14:0),PE(34:5),LPE,PE,129642,MBOAT2,26
PC(32:0),LPC(14:0),PC,LPC,30814,PLA2G2E,23
SM(38:1),Cer1P(26:1),SM,Cer,6609,SMPD1,18
PC(48:2),LPC(20:2),PC,LPC,283748,PLA2G4D,23
LPE(12:0) ,PE(34:4),LPE,PE,129642,MBOAT2,26
PI(32:2),LPI(18:1) ,PI,LPI,123745,PLA2G4E,29
PS(38:1),PE(18:2),PS,PE,23761,PISD,6
PC(42:6),LPC(22:2),PC,LPC,30814,PLA2G2E,23
PG(42:1),LPG(22:2),PG,LPG,255189,PLA2G4F,33
PE(22:4),PS(42:7),PE,PS,81490,PTDSS2,7
PC(34:3),LPC(14:0),PC,LPC,255189,PLA2G4F,23
LPS(18:0) ,PS(44:0),LPS,PS,10162,LPCAT3,30
LPS(18:2) ,PS(36:3),LPS,PS,154141,MBOAT1,30
PC(36:3),LPC(20:3),PC,LPC,30814,PLA2G2E,23
PE(34:5),PS(34:5),PE,PS,81490,PTDSS2,7
PC(42:1),LPC(22:0),PC,LPC,64600,PLA2G2F,23
LPE(18:0),PE(38:0),LPE,PE,129642,MBOAT2,26
LPS(19:1),PS(36:2),LPS,PS,254531,LPCAT4,30
PS(42:5),LPS(18:4),PS,LPS,30814,PLA2G2E,31
PI(36:2),LPI(20:3) ,PI,LPI,283748,PLA2G4D,29
PG(44:1),LPG(16:1) ,PG,LPG,255189,PLA2G4F,33
LPC(20:5),PC(38:8),LPC,PC,254531,LPCAT4,22
PC(36:0) ,LPC(18:1),PC,LPC,5319,PLA2G1B,23
PC(38:5),LPC(22:4),PC,LPC,5320,PLA2G2A,23
PC(40:3),LPC(22:1),PC,LPC,5319,PLA2G1B,23
LPE(16:1),PE(28:1),LPE,PE,10162,LPCAT3,26
PI(40:4),LPI(18:3) ,PI,LPI,283748,PLA2G4D,29
PC(38:0),LPC(8:0),PC,LPC,5320,PLA2G2A,23
PC(38:2),LPC(20:0),PC,LPC,255189,PLA2G4F,23
PC(50:0),LPC(24:0),PC,LPC,100137049,PLA2G4B,23
LPE(22:1),PE(42:4),LPE,PE,129642,MBOAT2,26
PC(42:6),LPC(20:1),PC,LPC,5321,PLA2G4A,23
Cer(32:0),SM(44:1),Cer,SM,166929,SGMS2,17
PS(22:7),PE(38:7),PS,PE,23761,PISD,6
LPS(22:4) ,PS(42:7),LPS,PS,10162,LPCAT3,30
LPE(20:4),PE(32:5),LPE,PE,129642,MBOAT2,26
PE(20:0),PC(44:5),PE,PC,10400,PEMT,8
PC(42:1),LPC(22:2),PC,LPC,5319,PLA2G1B,23
PE(18:4),PC(38:4),PE,PC,10400,PEMT,8
Cer(44:2),SM(32:2),Cer,SM,10087,CERT1,17
PE(14:1),PS(34:4),PE,PS,81490,PTDSS2,7
PC(38:4),LPC(18:4),PC,LPC,5321,PLA2G4A,23
PC(44:2),LPC(20:3),PC,LPC,5321,PLA2G4A,23
PC(42:0),LPC(10:0),PC,LPC,100137049,PLA2G4B,23
PE(32:3),LPE(20:2),PE,LPE,8605,PLA2G4C,27
LPS(18:3) ,PS(38:4),LPS,PS,154141,MBOAT1,30
LPG(20:5) ,PG(40:1),LPG,PG,9926,LPGAT1,32
LPE(16:0),PE(32:1),LPE,PE,129642,MBOAT2,26
PC(44:12),LPC(22:6),PC,LPC,64600,PLA2G2F,23
LPG(20:4) ,PG(38:8),LPG,PG,54675,CRLS1,32
PS(38:2),LPS(20:2) ,PS,LPS,30814,PLA2G2E,31
PS(36:2),LPS(22:2) ,PS,LPS,5320,PLA2G2A,31
PS(38:6),PE(22:6),PS,PE,23761,PISD,6
LPC(18:2),PC(30:1),LPC,PC,10162,LPCAT3,22
PC(48:2),PS(30:1),PC,PS,9791,PTDSS1,9
PC(34:0),LPC(15:0),PC,LPC,123745,PLA2G4E,23
PS(42:4),LPS(22:4) ,PS,LPS,64600,PLA2G2F,31
PE(52:4),PS(32:1),PE,PS,81490,PTDSS2,7
PC(32:5),LPC(20:4),PC,LPC,5319,PLA2G1B,23
LPG(20:3) ,PG(38:1),LPG,PG,54675,CRLS1,32
LPS(18:4),PS(32:4),LPS,PS,10162,LPCAT3,30
PG(40:7),LPG(20:3) ,PG,LPG,54675,CRLS1,33
LPE(20:2),PE(40:1),LPE,PE,254531,LPCAT4,26
PS(36:2),LPS(22:1) ,PS,LPS,64600,PLA2G2F,31
LPG(20:4) ,PG(34:5),LPG,PG,9926,LPGAT1,32
LPG(14:1) ,PG(28:0),LPG,PG,9926,LPGAT1,32
LPC(20:1),PC(44:0),LPC,PC,79888,LPCAT1,22
PS(44:5),LPS(18:4),PS,LPS,5320,PLA2G2A,31
LPC(16:1)_2,PC(36:2),LPC,PC,10162,LPCAT3,22
PS(34:1),LPS(17:1) ,PS,LPS,30814,PLA2G2E,31
PC(52:4),PS(34:3),PC,PS,9791,PTDSS1,9
LPC(22:6),PC(36:7),LPC,PC,54947,LPCAT2,22
LPC(22:0),PC(44:4),LPC,PC,54947,LPCAT2,22
LPE(18:3),PE(40:7),LPE,PE,254531,LPCAT4,26
LPE(18:3),PE(36:6),LPE,PE,129642,MBOAT2,26
PE(22:0),PC(40:4),PE,PC,10400,PEMT,8
PS(38:2),LPS(16:1) ,PS,LPS,5320,PLA2G2A,31
PC(36:4),LPC(14:0),PC,LPC,5319,PLA2G1B,23
LPE(22:1),PE(40:2),LPE,PE,254531,LPCAT4,26
LPE(20:5),PE(38:7),LPE,PE,129642,MBOAT2,26
PG(38:2),LPG(18:1) ,PG,LPG,255189,PLA2G4F,33
PS(36:2),LPS(19:1),PS,LPS,64600,PLA2G2F,31
LPC(20:3),PC(44:4),LPC,PC,254531,LPCAT4,22
LPG(20:4) ,PG(40:7),LPG,PG,54675,CRLS1,32
PS(30:2),PE(42:2)_2,PS,PE,23761,PISD,6
LPG(18:2) ,PG(32:1),LPG,PG,54675,CRLS1,32
PC(44:7),LPC(22:2),PC,LPC,123745,PLA2G4E,23
PG(38:3),LPG(20:2) ,PG,LPG,255189,PLA2G4F,33
PS(40:0) ,PE(24:0),PS,PE,23761,PISD,6
PS(40:5),PE(20:2),PS,PE,23761,PISD,6
PC(30:1),LPC(15:1),PC,LPC,5321,PLA2G4A,23
PG(38:6),LPG(20:5) ,PG,LPG,283748,PLA2G4D,33
PC(34:3),LPC(19:3),PC,LPC,123745,PLA2G4E,23
PG(44:6),LPG(22:2),PG,LPG,54675,CRLS1,33
PS(28:2),PE(42:1),PS,PE,23761,PISD,6
Cer1P(20:1),SM(44:1),Cer,SM,10087,CERT1,17
PC(36:1),LPC(18:3),PC,LPC,5320,PLA2G2A,23
LPE(22:0),PE(42:4),LPE,PE,254531,LPCAT4,26
LPE(19:0),PE(36:1),LPE,PE,154141,MBOAT1,26
LPC(22:2),PC(40:4),LPC,PC,254531,LPCAT4,22
PC(42:1),LPC(18:0),PC,LPC,64600,PLA2G2F,23
LPS(16:1) ,PS(34:3),LPS,PS,254531,LPCAT4,30
PS(38:3),PE(20:5),PS,PE,23761,PISD,6
LPC(20:4),PC(42:5),LPC,PC,10162,LPCAT3,22
PC(38:5),LPC(14:0),PC,LPC,100137049,PLA2G4B,23
PC(38:4),LPC(18:4),PC,LPC,123745,PLA2G4E,23
PS(34:1),LPS(15:1),PS,LPS,5320,PLA2G2A,31
PC(42:6),LPC(22:6),PC,LPC,30814,PLA2G2E,23
PC(32:5),LPC(12:0),PC,LPC,8605,PLA2G4C,23
PC(34:1),LPC(20:1),PC,LPC,255189,PLA2G4F,23
PC(40:2),LPC(22:0),PC,LPC,255189,PLA2G4F,23
PG(44:4),LPG(20:4) ,PG,LPG,54675,CRLS1,33
PE(20:5),PC(40:0),PE,PC,10400,PEMT,8
PC(40:5),LPC(20:5),PC,LPC,30814,PLA2G2E,23
LPC(20:0),PC(40:5),LPC,PC,254531,LPCAT4,22
SM(42:3),Cer(30:2),SM,Cer,55512,SMPD3,18
PC(32:1),LPC(16:0),PC,LPC,26279,PLA2G2D,23
PI(36:3),LPI(16:0) ,PI,LPI,283748,PLA2G4D,29
LPG(16:0),PG(36:4),LPG,PG,54675,CRLS1,32
PI(42:5),LPI(20:5) ,PI,LPI,123745,PLA2G4E,29
PE(42:7),LPE(20:2),PE,LPE,8605,PLA2G4C,27
LPC(20:2),PC(40:5),LPC,PC,79888,LPCAT1,22
LPS(22:2) ,PS(36:3),LPS,PS,254531,LPCAT4,30
PS(42:4),LPS(20:4) ,PS,LPS,30814,PLA2G2E,31
LPG(20:0),PG(42:0),LPG,PG,54675,CRLS1,32
LPS(18:1) ,PS(42:6),LPS,PS,254531,LPCAT4,30
LPC(20:2),PC(38:1),LPC,PC,254531,LPCAT4,22
PC(32:1),LPC(16:1),PC,LPC,5321,PLA2G4A,23
PC(40:1),LPC(16:0),PC,LPC,100137049,PLA2G4B,23
PG(36:1),LPG(18:2) ,PG,LPG,54675,CRLS1,33
PC(38:3),LPC(18:0),PC,LPC,255189,PLA2G4F,23
PC(34:2),LPC(20:3),PC,LPC,5320,PLA2G2A,23
PC(44:6),LPC(20:1),PC,LPC,64600,PLA2G2F,23
LPG(20:5) ,PG(38:1),LPG,PG,9926,LPGAT1,32
PC(42:4),LPC(18:4),PC,LPC,26279,PLA2G2D,23
LPI(18:3) ,PI(44:2),LPI,PI,79143,MBOAT7,28
PC(34:1),LPC(20:1),PC,LPC,26279,PLA2G2D,23
PC(40:5),LPC(20:1),PC,LPC,100137049,PLA2G4B,23
PC(42:5),LPC(22:1),PC,LPC,255189,PLA2G4F,23
LPS(22:0 ,PS(40:4),LPS,PS,10162,LPCAT3,30
PS(36:4),LPS(18:4)_2,PS,LPS,30814,PLA2G2E,31
PG(40:2),LPG(20:3) ,PG,LPG,255189,PLA2G4F,33
PG(44:5),LPG(18:4),PG,LPG,283748,PLA2G4D,33
PC(42:7),LPC(22:2),PC,LPC,283748,PLA2G4D,23
SM(42:0),Cer1P(30:1),SM,Cer,6609,SMPD1,18
PS(40:1),LPS(22:1) ,PS,LPS,5320,PLA2G2A,31
LPC(16:1),PC(34:0),LPC,PC,79888,LPCAT1,22
LPC(12:0),PC(36:5),LPC,PC,254531,LPCAT4,22
LPS(20:3) ,PS(36:2),LPS,PS,154141,MBOAT1,30
